px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.75191	-12.0278	-2.73478	1.38455	-0.596598	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.075246	R
9.70766	-12.1627	-2.73764	1.34214	-0.610209	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.177453	L
9.62993	-12.2919	-2.73177	1.24336	-0.734142	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	3.40318	R
9.57793	-12.4105	-2.72283	1.20211	-0.740458	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.246662	L
9.44719	-12.5177	-2.716	1.0497	-0.945621	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	7.78862	R
9.37543	-12.6219	-2.70441	0.999905	-0.950387	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.276414	L
9.29883	-12.7452	-2.70249	0.956913	-0.934548	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.0557432	R
9.21451	-12.8487	-2.68573	0.904844	-0.938903	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.402369	L
9.04012	-12.9154	-2.7021	0.708597	-1.21513	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	14.5808	R
8.91625	-12.994	-2.70598	0.634498	-1.22796	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0.39967	L
8.77628	-13.066	-2.71095	0.53888	-1.2775	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0.554739	R
8.65004	-13.1231	-2.69604	0.464577	-1.28601	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.346308	L
8.51078	-13.1659	-2.70715	0.365452	-1.35189	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0.863592	R
8.37864	-13.2015	-2.70388	0.291624	-1.35914	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.134023	L
8.2084	-13.2093	-2.72708	0.155396	-1.47526	8.22926	-13.1698	8.2	-13.15	-2.72741	0	2.80903	R
8.05613	-13.214	-2.72222	0.0656331	-1.48576	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.23103	L
